اسم الصنف,رابط الصورة (مباشر ومتأكد إنه شغّال)
Zinnat 500mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFYprO5EmtaXjEk4_aDl_8YOXs8ytrqn_Xq86avMDKOg&s=10
Rani 150mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1ujcterzoAFy6LGIMDiIMW1dSzMvWQ02GMMjrE6pbSQ&s=10
Motilium 10mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZHi8SLOKWqvCXmcFPbGUtNrYvT_-5waH9-n0wpq763w&s=10
Nexium 40mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-08yfh-3CVoZ8BHBZ0yjksk89b3KJ6Ul0-GT7XH2_dg&s=10
Cal-D-Vita,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhgMuIE6w2VTDg2IHKQcNHTVN3WhkNs11RyowE7kg5AA&s=10
Bio Vit-C 1000mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5M8tfcbEG1bi5tu1-O1gNTQnWSV6Inpa5t2bJnBrGuw&s=10
Feroglobin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW2-p1S2vZ1itbIKjdEhuAzGjVeEEolF1fcwu7Nj3Qmg&s=10
Omega Life 3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ80tYD_j1QqWoWp2CqD9zn7qieA57rSaSD34jZUrFug&s=10
Coldrex,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsRY3lNdtmHvVQBPeK7X9gQUkpo4VNuU1jCtFkDhdT3A&s=10
Comtrex,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_ZvdP_KgMpNwdeVBxXi4CEvsdAONy9Lp-rjDMjkmgBw&s=10
